Supplemental Table 1: Public RNA-sequencing data collection and respective quality control status.,,,
,samples,study,QC_Status
142,ENCSR687HJY,Encode,PASS
143,ENCSR296PMS,Encode,PASS
144,ENCSR071ZLM,Encode,OMITTED1
145,ENCSR429EWK,Encode,PASS
146,ENCSR129KCJ,Encode,PASS
147,ENCSR194HVU,Encode,PASS
148,SAMEA2341984,Wood,FAIL
149,SAMEA2341985,Wood,PASS
150,SAMN01984805,Nielsen,FAIL
151,SAMN01984806,Nielsen,FAIL
152,SAMN01984807,Nielsen,FAIL
153,SAMN01984808,Nielsen,OMITTED2
154,SAMN01984809,Nielsen,FAIL
155,SAMN01984810,Nielsen,FAIL
156,SAMN01984811,Nielsen,FAIL
157,SAMN01984812,Nielsen,OMITTED2
158,SAMN01984813,Nielsen,FAIL
159,SAMN01984814,Nielsen,FAIL
160,SAMN01984815,Nielsen,FAIL
161,SAMN01984816,Nielsen,FAIL
162,SAMN09631387,Yan,OMITTED3
163,SAMN09631383,Yan,OMITTED3
164,SAMN09631380,Yan,OMITTED3
165,SAMN09631377,Yan,OMITTED3
166,SAMN09631376,Yan,OMITTED3
167,SAMN09631373,Yan,OMITTED3
168,SAMN09631390,Yan,OMITTED3
169,SAMN05560093,Ooi,FAIL
170,SAMN05560092,Ooi,FAIL
171,SAMN05560091,Ooi,FAIL
172,SAMN05560090,Ooi,FAIL
173,SAMN05560089,Ooi,FAIL
174,SAMN05560088,Ooi,FAIL
175,SAMN05560087,Ooi,FAIL
176,SAMN05560086,Ooi,FAIL
177,SAMN05560085,Ooi,FAIL
178,SAMN05560104,Ooi,FAIL
179,SAMN05560084,Ooi,FAIL
180,SAMN05560083,Ooi,FAIL
181,SAMN05560082,Ooi,FAIL
182,SAMN05560081,Ooi,FAIL
183,SAMN05560080,Ooi,FAIL
184,SAMN05560079,Ooi,FAIL
185,SAMN03145372,Stathias,PASS
186,SAMN03145373,Stathias,FAIL
187,SAMN03145370,Stathias,FAIL
188,SAMN03145371,Stathias,PASS
189,SAMN13171519,Xu,FAIL
190,SAMN13171518,Xu,PASS
191,SAMN13171517,Xu,FAIL
192,SAMN13171515,Xu,FAIL
193,SAMN13171513,Xu,FAIL
194,SAMN13171512,Xu,PASS
195,SAMN13171511,Xu,FAIL
196,SAMN13171510,Xu,FAIL
197,SAMN13171509,Xu,FAIL
198,SAMN13171508,Xu,FAIL
199,SAMN13171507,Xu,OMITTED1
200,SAMN13171506,Xu,PASS
201,SAMN13171505,Xu,FAIL
202,SAMN13171504,Xu,FAIL
203,SAMN13171529,Xu,OMITTED1
204,SAMN13171528,Xu,FAIL
205,SAMN13171527,Xu,FAIL
206,SAMN13171525,Xu,FAIL
207,SAMN13171524,Xu,FAIL
208,SAMN13171522,Xu,FAIL
209,SAMEA5128447,Patnaik ,FAIL
210,SAMEA5128448,Patnaik ,PASS
211,SAMEA5128449,Patnaik ,PASS
212,SAMEA5128450,Patnaik ,PASS
213,SAMEA5128451,Patnaik ,PASS
214,SAMEA5128452,Patnaik ,PASS
215,SAMEA5128453,Patnaik ,FAIL
216,SAMEA5128454,Patnaik ,PASS
217,SAMEA5128455,Patnaik ,PASS
218,SAMEA5128456,Patnaik ,PASS
219,SAMEA5128457,Patnaik ,PASS
220,SAMEA5128458,Patnaik ,PASS
221,SAMEA5128459,Patnaik ,PASS
222,SAMEA5128460,Patnaik ,PASS
223,SAMEA5128461,Patnaik ,PASS
224,SAMEA5128462,Patnaik ,PASS
225,SAMEA5128463,Patnaik ,FAIL
226,SAMEA5128464,Patnaik ,PASS
227,SAMEA5128465,Patnaik ,FAIL
228,SAMEA5128466,Patnaik ,FAIL
229,SAMEA5128467,Patnaik ,PASS
230,SAMEA5128468,Patnaik ,FAIL
231,SAMEA5128469,Patnaik ,PASS
232,SAMEA5128470,Patnaik ,FAIL
233,SAMEA5128471,Patnaik ,FAIL
234,SAMEA5128472,Patnaik ,PASS
235,SAMEA5128473,Patnaik ,PASS
236,SAMEA5128474,Patnaik ,PASS
237,SAMEA5128475,Patnaik ,PASS
238,SAMEA5128476,Patnaik ,PASS
239,SAMEA5128477,Patnaik ,FAIL
240,SAMEA5128478,Patnaik ,PASS
241,SAMEA5128479,Patnaik ,PASS
242,SAMEA5128480,Patnaik ,PASS
243,SAMEA5128481,Patnaik ,PASS
244,SAMEA5128482,Patnaik ,PASS
245,SAMEA5128483,Patnaik ,PASS
246,SAMEA5128484,Patnaik ,PASS
247,SAMEA5128485,Patnaik ,PASS
248,SAMN05257184,Majewska,PASS
249,SAMN05257185,Majewska,PASS
250,SAMN05257186,Majewska,PASS
251,SAMN05257187,Majewska,PASS
252,SAMN04432817,Buckberry ,PASS
253,SAMN04432818,Buckberry ,PASS
254,SAMN04432819,Buckberry ,PASS
255,SAMN04432820,Buckberry ,PASS
256,SAMN04432821,Buckberry ,PASS
257,SAMN04432822,Buckberry ,PASS
258,SAMN04432823,Buckberry ,PASS
259,SAMN04432824,Buckberry ,PASS
260,SAMN04432825,Buckberry ,PASS
261,SAMN04432826,Buckberry ,PASS
262,SAMN04432827,Buckberry ,PASS
263,SAMN04432828,Buckberry ,PASS
264,SAMN04432829,Buckberry ,PASS
265,SAMN04432830,Buckberry ,PASS
266,SAMN04432831,Buckberry ,PASS
267,SAMN04432832,Buckberry ,PASS
268,SAMN02028525,Roadmap,FAIL
269,SAMN01737661,Roadmap,FAIL
270,SAMN01737662,Roadmap,PASS
271,SAMN01737663,Roadmap,FAIL
272,SAMN01737664,Roadmap,PASS
273,SAMN02028526,Roadmap,FAIL
274,SAMN01737665,Roadmap,FAIL
275,SAMN01737667,Roadmap,OMITTED3
276,SAMN02028527,Roadmap,FAIL
277,SAMN01737668,Roadmap,FAIL
278,SAMN01737669,Roadmap,FAIL
279,SAMN01737670,Roadmap,FAIL
280,SAMN01737671,Roadmap,FAIL
281,SAMN02028528,Roadmap,FAIL
282,SAMN01737672,Roadmap,FAIL
283,SAMN00847542,Roadmap,FAIL
284,SAMN01737666,Roadmap,FAIL
285,SAMN00849926,Roadmap,PASS
286,SAMN00849927,Roadmap,FAIL
287,SAMN00847538,Roadmap,FAIL
288,SAMN00849928,Roadmap,FAIL
289,SAMN00847543,Roadmap,FAIL
290,SAMN00847544,Roadmap,OMITTED3
291,SAMN00847532,Roadmap,PASS
292,SAMN00849925,Roadmap,OMITTED3
293,SAMN00855407,Roadmap,PASS
294,SAMN01085433,Roadmap,PASS
295,SAMN00828739,Roadmap,FAIL
296,SAMN00847536,Roadmap,FAIL
297,SAMN00847541,Roadmap,FAIL
298,SAMN00847533,Roadmap,FAIL
299,SAMN00847535,Roadmap,OMITTED3
300,SAMN00847539,Roadmap,FAIL
301,SAMN01881275,Roadmap,FAIL
302,SAMN01881963,Roadmap,PASS
303,SAMN01085432,Roadmap,OMITTED3
304,SAMN00847540,Roadmap,OMITTED2
305,SAMN07431273,Fang,FAIL
306,SAMN07431271,Fang,FAIL
307,SAMN07431269,Fang,FAIL
308,SAMN07431267,Fang,FAIL
309,SAMN07431265,Fang,FAIL
310,SAMN07431263,Fang,FAIL
311,SAMN07431261,Fang,FAIL
312,SAMN07431259,Fang,FAIL
313,SAMN07431257,Fang,FAIL
314,SAMN07431255,Fang,FAIL
315,SAMN07431253,Fang,FAIL
316,SAMN07431251,Fang,PASS
317,SAMN07431315,Fang,FAIL
318,SAMN07431246,Fang,FAIL
319,SAMN07431244,Fang,FAIL
320,SAMN07431249,Fang,FAIL
321,SAMN07431242,Fang,PASS
322,SAMN07431240,Fang,FAIL
323,SAMN07431238,Fang,FAIL
324,SAMN07431236,Fang,FAIL
325,SAMN07431234,Fang,FAIL
326,SAMN07431233,Fang,FAIL
327,SAMN07431231,Fang,FAIL
328,SAMN07431229,Fang,FAIL
329,SAMN07431313,Fang,FAIL
330,SAMN07431311,Fang,PASS
331,SAMN07431309,Fang,FAIL
332,SAMN07431307,Fang,FAIL
333,SAMN07431305,Fang,FAIL
334,SAMN07431299,Fang,FAIL
335,SAMN07431297,Fang,FAIL
336,SAMN07431303,Fang,FAIL
337,SAMN07431301,Fang,FAIL
338,SAMN07431295,Fang,FAIL
339,SAMN07431293,Fang,FAIL
340,SAMN07431291,Fang,FAIL
341,SAMN07431289,Fang,FAIL
342,SAMN07431287,Fang,FAIL
343,SAMN07431285,Fang,FAIL
344,SAMN07431283,Fang,FAIL
345,SAMN07431281,Fang,FAIL
346,SAMN07431279,Fang,FAIL
347,SAMN07431277,Fang,FAIL
348,SAMN07431275,Fang,FAIL
349,SAMN07431320,Fang,FAIL
350,SAMN07431319,Fang,FAIL
351,SAMN07431317,Fang,FAIL
352,SAMN08354447,Gonzalez,PASS
353,SAMN08354446,Gonzalez,PASS
354,SAMN08354445,Gonzalez,PASS
355,SAMN08354444,Gonzalez,PASS
356,SAMN08354443,Gonzalez,PASS
357,SAMN08354442,Gonzalez,PASS
358,SAMN08354441,Gonzalez,PASS
359,SAMN08354440,Gonzalez,PASS
360,SAMN08354439,Gonzalez,PASS
361,SAMN08354438,Gonzalez,PASS
362,SAMN08354437,Gonzalez,PASS
363,SAMN08354436,Gonzalez,PASS
364,SAMN08354435,Gonzalez,PASS
365,SAMN08354432,Gonzalez,PASS
366,SAMN08354431,Gonzalez,PASS
367,SAMN08354430,Gonzalez,PASS
368,SAMN08354429,Gonzalez,PASS
369,SAMN08354433,Gonzalez,PASS
370,SAMN08354434,Gonzalez,PASS
371,SAMN08354426,Gonzalez,PASS
372,SAMN08354448,Gonzalez,PASS
373,SAMN08354449,Gonzalez,PASS
374,SAMN08354423,Gonzalez,PASS
375,SAMN08354428,Gonzalez,PASS
376,SAMN08354427,Gonzalez,PASS
377,SAMN08354425,Gonzalez,PASS
378,SAMN08354424,Gonzalez,PASS
379,SAMN08354459,Gonzalez,PASS
380,SAMN08354458,Gonzalez,PASS
381,SAMN08354451,Gonzalez,PASS
382,SAMN08354450,Gonzalez,FAIL
383,SAMN08354421,Gonzalez,PASS
384,SAMN08354456,Gonzalez,PASS
385,SAMN08354457,Gonzalez,PASS
386,SAMN08354422,Gonzalez,PASS
387,SAMN08354454,Gonzalez,PASS
388,SAMN08354453,Gonzalez,PASS
389,SAMN08354452,Gonzalez,PASS
390,SAMN08354455,Gonzalez,PASS
391,SAMN05876040,Pavlicev,FAIL
392,SAMN05876039,Pavlicev,FAIL
393,SAMEA2698414,Uhlen,PASS
394,SAMEA2698415,Uhlen,PASS
395,SAMEA2698390,Uhlen,PASS
396,SAMEA2698400,Uhlen,PASS
397,SAMEA2698405,Uhlen,PASS
398,SAMEA2698407,Uhlen,PASS
399,SAMEA2698404,Uhlen,PASS
400,SAMEA2698398,Uhlen,PASS
401,SAMEA2698401,Uhlen,PASS
402,SAMEA2698403,Uhlen,PASS
403,SAMEA2698406,Uhlen,PASS
404,SAMEA2698388,Uhlen,PASS
405,SAMEA2698396,Uhlen,PASS
406,SAMEA2698413,Uhlen,PASS
407,SAMEA2698384,Uhlen,PASS
408,SAMEA2698394,Uhlen,PASS
409,SAMEA2698392,Uhlen,PASS
410,SAMEA2698402,Uhlen,PASS
411,SAMEA2698412,Uhlen,PASS
412,SAMEA2698386,Uhlen,PASS
413,SAMEA2698399,Uhlen,PASS
414,SAMN07548306,Wenric,FAIL
415,SAMN07548307,Wenric,FAIL
416,SAMN07548308,Wenric,PASS
417,SAMN07548342,Wenric,PASS
418,SAMN07548343,Wenric,FAIL
419,SAMN07548315,Wenric,PASS
420,SAMN07548314,Wenric,PASS
421,SAMN07548317,Wenric,PASS
422,SAMN07548316,Wenric,FAIL
423,SAMN07548318,Wenric,FAIL
424,SAMN07548341,Wenric,FAIL
425,SAMN07548335,Wenric,FAIL
426,SAMN07548336,Wenric,FAIL
427,SAMN07548337,Wenric,FAIL
428,SAMN07548338,Wenric,FAIL
429,SAMN07548339,Wenric,PASS
430,SAMN07548340,Wenric,PASS
431,SAMN07548321,Wenric,PASS
432,SAMN07548320,Wenric,PASS
433,SAMN07548323,Wenric,PASS
434,SAMN07548322,Wenric,PASS
435,SAMN07548319,Wenric,PASS
436,SAMN07548334,Wenric,FAIL
437,SAMN07548333,Wenric,FAIL
438,SAMN07548332,Wenric,PASS
439,SAMN07548331,Wenric,FAIL
440,SAMN07548330,Wenric,PASS
441,SAMN07548363,Wenric,FAIL
442,SAMN07548362,Wenric,PASS
443,SAMN07548361,Wenric,FAIL
444,SAMN07548360,Wenric,FAIL
445,SAMN07548359,Wenric,FAIL
446,SAMN07548313,Wenric,PASS
447,SAMN07548312,Wenric,FAIL
448,SAMN07548305,Wenric,FAIL
449,SAMN07548329,Wenric,FAIL
450,SAMN07548328,Wenric,FAIL
451,SAMN07548311,Wenric,FAIL
452,SAMN07548310,Wenric,PASS
453,SAMN07548309,Wenric,PASS
454,SAMN07548327,Wenric,PASS
455,SAMN07548326,Wenric,PASS
456,SAMN07548325,Wenric,PASS
457,SAMN07548324,Wenric,FAIL
458,SAMEA3932117,Havas,PASS
459,SAMEA3932120,Havas,PASS
460,SAMEA3932121,Havas,FAIL
461,SAMEA3932123,Havas,PASS
462,SAMEA3932125,Havas,PASS
463,SAMEA3932127,Havas,PASS
464,SAMEA3932129,Havas,PASS
465,SAMEA4376597,Bradford,PASS
466,SAMEA4376598,Bradford,PASS
467,SAMEA4376599,Bradford,PASS
468,SAMEA4376600,Bradford,PASS
469,SAMEA4376601,Bradford,PASS
470,SAMEA4376602,Bradford,PASS
471,SAMEA4376603,Bradford,PASS
472,SAMEA4376604,Bradford,PASS
473,SAMEA4376605,Bradford,PASS
474,SAMEA4376606,Bradford,PASS
475,SAMEA4376607,Bradford,PASS
476,SAMEA4376608,Bradford,PASS
477,SAMEA4376609,Bradford,PASS
478,SAMEA4376610,Bradford,PASS
479,SAMEA4376611,Bradford,PASS
480,SAMEA4376612,Bradford,PASS
481,SAMEA4376613,Bradford,PASS
482,SAMEA4376614,Bradford,PASS
483,SAMEA4376615,Bradford,PASS
484,SAMEA4376616,Bradford,PASS
485,SAMEA4376617,Bradford,PASS
486,SAMEA4376618,Bradford,PASS
487,SAMEA4376619,Bradford,PASS
488,SAMEA4376620,Bradford,PASS
489,SAMEA4376621,Bradford,PASS
490,SAMEA4376622,Bradford,PASS
491,SAMEA4376623,Bradford,PASS
492,SAMEA4376624,Bradford,PASS
493,SAMEA4376625,Bradford,PASS
494,SAMEA4376626,Bradford,PASS
495,SAMEA4376627,Bradford,PASS
496,SAMEA4376628,Bradford,PASS
497,SAMEA4376629,Bradford,PASS
498,SAMEA4376630,Bradford,PASS
499,SAMEA4376631,Bradford,PASS
500,SAMEA4376632,Bradford,PASS
501,SAMEA4376633,Bradford,PASS
502,SAMEA4376634,Bradford,PASS
503,SAMEA4376635,Bradford,PASS
504,SAMEA4376636,Bradford,PASS
505,SAMEA4376637,Bradford,PASS
506,SAMEA4376638,Bradford,PASS
507,SAMEA4376639,Bradford,PASS
508,SAMEA4376640,Bradford,PASS
509,SAMEA4376641,Bradford,PASS
510,SAMEA4376642,Bradford,PASS
511,SAMEA4376643,Bradford,PASS
512,SAMEA4376644,Bradford,PASS
513,SAMEA4376645,Bradford,PASS
514,SAMEA4376646,Bradford,PASS
515,SAMEA4376647,Bradford,PASS
516,SAMEA4376648,Bradford,PASS
517,SAMEA4376649,Bradford,PASS
518,SAMEA4376650,Bradford,PASS
519,SAMEA4376651,Bradford,PASS
520,SAMEA4376652,Bradford,PASS
521,SAMEA4376653,Bradford,PASS
522,SAMEA4376654,Bradford,PASS
523,SAMEA4376655,Bradford,PASS
524,SAMEA4376656,Bradford,PASS
525,SAMEA4376657,Bradford,PASS
526,SAMEA4376658,Bradford,PASS
527,SAMEA4376659,Bradford,PASS
528,SAMN07767390,Hooks,PASS
529,SAMN07767389,Hooks,PASS
530,SAMN07767388,Hooks,PASS
531,SAMN07767387,Hooks,PASS
532,SAMN07767386,Hooks,PASS
533,SAMN07767350,Hooks,PASS
534,SAMN07767353,Hooks,PASS
535,SAMN07767355,Hooks,PASS
536,SAMN07767354,Hooks,PASS
537,SAMN07767356,Hooks,PASS
538,SAMN07767349,Hooks,PASS
539,SAMN07767357,Hooks,PASS
540,SAMN07767358,Hooks,PASS
541,SAMN07767359,Hooks,PASS
542,SAMN07767360,Hooks,PASS
543,SAMN07767362,Hooks,PASS
544,SAMN07767361,Hooks,PASS
545,SAMN07767348,Hooks,PASS
546,SAMN07767345,Hooks,PASS
547,SAMN07767344,Hooks,PASS
548,SAMN07767343,Hooks,PASS
549,SAMN07767342,Hooks,PASS
550,SAMN07767347,Hooks,PASS
551,SAMN07767346,Hooks,PASS
552,SAMN07767340,Hooks,PASS
553,SAMN07767339,Hooks,PASS
554,SAMN07767338,Hooks,PASS
555,SAMN07767396,Hooks,PASS
556,SAMN07767382,Hooks,PASS
557,SAMN07767381,Hooks,PASS
558,SAMN07767380,Hooks,PASS
559,SAMN07767379,Hooks,PASS
560,SAMN07767394,Hooks,PASS
561,SAMN07767393,Hooks,PASS
562,SAMN07767337,Hooks,PASS
563,SAMN07767383,Hooks,FAIL
564,SAMN07767372,Hooks,PASS
565,SAMN07767364,Hooks,PASS
566,SAMN07767363,Hooks,PASS
567,SAMN07767376,Hooks,PASS
568,SAMN07767374,Hooks,PASS
569,SAMN07767373,Hooks,PASS
570,SAMN07767378,Hooks,PASS
571,SAMN07767369,Hooks,PASS
572,SAMN07767368,Hooks,PASS
573,SAMN07767371,Hooks,PASS
574,SAMN07767370,Hooks,PASS
575,SAMN07767367,Hooks,PASS
576,SAMN07767366,Hooks,PASS
577,SAMN07767365,Hooks,PASS
578,SAMD00013685,Hon,PASS
579,SAMD00013677,Hon,PASS
580,SAMD00013674,Hon,PASS
581,SAMD00013682,Hon,PASS
582,SAMD00013681,Hon,FAIL
583,SAMD00013680,Hon,PASS
584,SAMD00005861,Hon,FAIL
585,SAMD00004727,Hon,FAIL
586,SAMN05750551,Omolo,FAIL
587,SAMN05750550,Omolo,OMITTED2
588,SAMN05750549,Omolo,FAIL
589,SAMN05750548,Omolo,FAIL
590,SAMN05750547,Omolo,OMITTED2
591,SAMN05750546,Omolo,FAIL
592,SAMN05750545,Omolo,FAIL
593,SAMN05750649,Omolo,FAIL
594,SAMN05750648,Omolo,OMITTED2
595,SAMN05750647,Omolo,FAIL
596,SAMN05750646,Omolo,OMITTED2
597,SAMN05750645,Omolo,OMITTED2
598,SAMN05750644,Omolo,FAIL
599,SAMN05750643,Omolo,FAIL
600,SAMN05750642,Omolo,OMITTED2
601,SAMN05750641,Omolo,OMITTED2
602,SAMN05750640,Omolo,FAIL
603,SAMN05750639,Omolo,FAIL
604,SAMN05750638,Omolo,OMITTED2
605,SAMN05750637,Omolo,FAIL
606,SAMN05750636,Omolo,FAIL
607,SAMN05750635,Omolo,FAIL
608,SAMN05750634,Omolo,FAIL
609,SAMN05750633,Omolo,FAIL
610,SAMN05750632,Omolo,FAIL
611,SAMN05750631,Omolo,FAIL
612,SAMN05750630,Omolo,OMITTED2
613,SAMN05750629,Omolo,FAIL
614,SAMN05750623,Omolo,OMITTED2
615,SAMN05750628,Omolo,OMITTED2
616,SAMN05750627,Omolo,FAIL
617,SAMN05750626,Omolo,FAIL
618,SAMN05750625,Omolo,FAIL
619,SAMN05750624,Omolo,FAIL
620,SAMN05750622,Omolo,FAIL
621,SAMN05750621,Omolo,FAIL
622,SAMN05750620,Omolo,OMITTED2
623,SAMN05750619,Omolo,OMITTED2
624,SAMN05750618,Omolo,OMITTED2
625,SAMN05750617,Omolo,OMITTED2
626,SAMN05750616,Omolo,OMITTED2
627,SAMN05750615,Omolo,FAIL
628,SAMN05750614,Omolo,OMITTED2
629,SAMN05750613,Omolo,OMITTED2
630,SAMN05750612,Omolo,FAIL
631,SAMN05750611,Omolo,OMITTED2
632,SAMN05750610,Omolo,FAIL
633,SAMN05750609,Omolo,FAIL
634,SAMN05750608,Omolo,FAIL
635,SAMN05750607,Omolo,FAIL
636,SAMN05750606,Omolo,FAIL
637,SAMN05750605,Omolo,OMITTED2
638,SAMN05750604,Omolo,FAIL
639,SAMN05750603,Omolo,FAIL
640,SAMEA104105614,Zhu,FAIL
641,SAMEA104105615,Zhu,FAIL
642,SAMEA104105616,Zhu,FAIL
643,SAMEA104105617,Zhu,FAIL
644,SAMEA104105618,Zhu,FAIL
645,SAMEA104105619,Zhu,FAIL
646,SAMEA104105620,Zhu,FAIL
647,SAMEA104105621,Zhu,FAIL
648,SAMEA104105622,Zhu,FAIL
649,SAMEA104105623,Zhu,FAIL
650,SAMEA104105624,Zhu,FAIL
651,SAMEA104105627,Zhu,PASS
652,SAMEA2555136,Conway,FAIL
653,SAMEA2555169,Conway,FAIL
654,SAMEA2555131,Conway,FAIL
655,SAMEA2555132,Conway,FAIL
656,SAMEA2555170,Conway,FAIL
657,SAMEA2555140,Conway,FAIL
658,SAMEA2555178,Conway,FAIL
659,SAMEA2555133,Conway,FAIL
660,SAMEA2555171,Conway,FAIL
661,SAMEA2555174,Conway,FAIL
662,SAMEA2555137,Conway,FAIL
663,SAMEA2555175,Conway,FAIL
664,SAMEA2555134,Conway,FAIL
665,SAMEA2555172,Conway,FAIL
666,SAMEA2555135,Conway,FAIL
667,SAMEA2555173,Conway,FAIL
668,SAMEA2555138,Conway,FAIL
669,SAMEA2555176,Conway,OMITTED1
670,SAMEA2555179,Conway,FAIL
671,SAMEA2555141,Conway,FAIL
672,SAMEA2555142,Conway,FAIL
673,SAMEA2555180,Conway,FAIL
674,SAMEA2555143,Conway,FAIL
675,SAMEA2555181,Conway,FAIL
676,SAMEA2555139,Conway,FAIL
677,SAMEA2555177,Conway,FAIL
678,SAMEA2555144,Conway,FAIL
679,SAMEA2555182,Conway,FAIL
680,SAMEA2555145,Conway,FAIL
681,SAMEA2555183,Conway,FAIL
682,SAMEA2555167,Conway,FAIL
683,SAMEA2555129,Conway,FAIL
684,SAMEA2555168,Conway,FAIL
685,SAMEA2555165,Conway,FAIL
686,SAMEA2555130,Conway,FAIL
687,SAMEA2555127,Conway,FAIL
688,SAMEA2555166,Conway,FAIL
689,SAMEA2555128,Conway,FAIL
690,SAMN04256124,Jegou,FAIL
